id,age,balance,contact,day,duration,campaign,pdays,previous,poutcome,y,job_cats,marital_cats,education_cats,default_cats,housing_cats,loan_cats,month_cats
35.0,51,10635.0,u,5.0,336.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
36.0,57,63.0,u,5.0,242.0,1.0,-1.0,0.0,unknown,no,9,0,1,0,1,0,8
37.0,25,-7.0,u,5.0,365.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
38.0,53,-3.0,u,5.0,1666.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,0,0,8
39.0,36,506.0,u,5.0,577.0,1.0,-1.0,0.0,unknown,no,0,0,1,0,1,0,8
40.0,37,0.0,u,5.0,137.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,0,8
41.0,44,2586.0,u,5.0,160.0,1.0,-1.0,0.0,unknown,no,7,0,1,0,1,0,8
42.0,50,49.0,u,5.0,180.0,2.0,-1.0,0.0,unknown,no,4,1,1,0,1,0,8
43.0,60,104.0,u,5.0,22.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
44.0,54,529.0,u,5.0,1492.0,1.0,-1.0,0.0,unknown,no,5,1,1,0,1,0,8
45.0,58,96.0,u,5.0,616.0,1.0,-1.0,0.0,unknown,no,5,1,3,0,1,0,8
46.0,36,-171.0,u,5.0,242.0,1.0,-1.0,0.0,unknown,no,0,2,0,0,1,0,8
47.0,58,-364.0,u,5.0,355.0,1.0,-1.0,0.0,unknown,no,6,1,2,0,1,0,8
48.0,44,0.0,u,5.0,225.0,2.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
49.0,55,0.0,u,5.0,160.0,1.0,-1.0,0.0,unknown,no,9,0,1,0,0,0,8
50.0,29,0.0,u,5.0,363.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
51.0,54,1291.0,u,5.0,266.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
52.0,48,-244.0,u,5.0,253.0,1.0,-1.0,0.0,unknown,no,4,0,2,0,1,0,8
53.0,32,0.0,u,5.0,179.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
54.0,42,-76.0,u,5.0,787.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,0,8
55.0,24,-103.0,u,5.0,145.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,1,8
56.0,38,243.0,u,5.0,174.0,1.0,-1.0,0.0,unknown,no,2,2,2,0,0,1,8
57.0,38,424.0,u,5.0,104.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
58.0,47,306.0,u,5.0,13.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
59.0,40,24.0,u,5.0,185.0,1.0,-1.0,0.0,unknown,no,1,2,3,0,1,0,8
60.0,46,179.0,u,5.0,1778.0,1.0,-1.0,0.0,unknown,no,7,1,0,0,1,0,8
61.0,32,0.0,u,5.0,138.0,1.0,-1.0,0.0,unknown,no,0,1,2,0,1,0,8
62.0,53,989.0,u,5.0,812.0,1.0,-1.0,0.0,unknown,no,9,0,1,0,1,0,8
63.0,57,249.0,u,5.0,164.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
64.0,33,790.0,u,5.0,391.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
65.0,49,154.0,u,5.0,357.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
66.0,51,6530.0,u,5.0,91.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
67.0,60,100.0,u,5.0,528.0,1.0,-1.0,0.0,unknown,no,5,1,2,0,0,0,8
68.0,59,59.0,u,5.0,273.0,1.0,-1.0,0.0,unknown,no,4,0,2,0,1,0,8
69.0,55,1205.0,u,5.0,158.0,2.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
70.0,35,12223.0,u,5.0,177.0,1.0,-1.0,0.0,unknown,no,1,2,1,0,1,1,8
71.0,57,5935.0,u,5.0,258.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,1,8
72.0,31,25.0,u,5.0,172.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,1,8
73.0,54,282.0,u,5.0,154.0,1.0,-1.0,0.0,unknown,no,4,1,1,0,1,1,8
74.0,55,23.0,u,5.0,291.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
75.0,43,1937.0,u,5.0,181.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
76.0,53,384.0,u,5.0,176.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
77.0,44,582.0,u,5.0,211.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,0,1,8
78.0,55,91.0,u,5.0,349.0,1.0,-1.0,0.0,unknown,no,7,0,1,0,0,0,8
79.0,49,0.0,u,5.0,272.0,1.0,-1.0,0.0,unknown,no,7,0,1,0,1,1,8
80.0,55,1.0,u,5.0,208.0,1.0,-1.0,0.0,unknown,no,7,0,1,1,1,0,8
81.0,45,206.0,u,5.0,193.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,0,8
82.0,47,164.0,u,5.0,212.0,1.0,-1.0,0.0,unknown,no,7,0,1,0,0,0,8
83.0,42,690.0,u,5.0,20.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
84.0,59,2343.0,u,5.0,1042.0,1.0,-1.0,0.0,unknown,yes,0,1,1,0,1,0,8
85.0,46,137.0,u,5.0,246.0,1.0,-1.0,0.0,unknown,no,6,1,2,0,1,1,8
86.0,51,173.0,u,5.0,529.0,2.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
87.0,56,45.0,u,5.0,1467.0,1.0,-1.0,0.0,unknown,yes,0,1,1,0,0,0,8
88.0,41,1270.0,u,5.0,1389.0,1.0,-1.0,0.0,unknown,yes,9,1,1,0,1,0,8
89.0,46,16.0,u,5.0,188.0,2.0,-1.0,0.0,unknown,no,4,0,1,0,1,1,8
90.0,57,486.0,u,5.0,180.0,2.0,-1.0,0.0,unknown,no,5,1,1,0,1,0,8
91.0,42,50.0,u,5.0,48.0,1.0,-1.0,0.0,unknown,no,4,2,1,0,0,0,8
92.0,30,152.0,u,5.0,213.0,2.0,-1.0,0.0,unknown,no,9,1,1,0,1,1,8
93.0,60,290.0,u,5.0,583.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,0,8
94.0,60,54.0,u,5.0,221.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
95.0,57,-37.0,u,5.0,173.0,1.0,-1.0,0.0,unknown,no,2,0,1,0,0,0,8
96.0,36,101.0,u,5.0,426.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,1,8
97.0,55,383.0,u,5.0,287.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,0,0,8
98.0,60,81.0,u,5.0,101.0,1.0,-1.0,0.0,unknown,no,5,1,2,0,1,0,8
99.0,39,0.0,u,5.0,203.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
100.0,46,229.0,u,5.0,197.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
101.0,44,-674.0,u,5.0,257.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
102.0,53,90.0,u,5.0,124.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,0,0,8
103.0,52,128.0,u,5.0,229.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
104.0,59,179.0,u,5.0,55.0,3.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
105.0,27,0.0,u,5.0,400.0,1.0,-1.0,0.0,unknown,no,9,2,2,0,1,0,8
106.0,44,54.0,u,5.0,197.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
107.0,47,151.0,u,5.0,190.0,1.0,-1.0,0.0,unknown,no,9,1,2,0,1,0,8
108.0,34,61.0,u,5.0,21.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,0,1,8
109.0,59,30.0,u,5.0,514.0,1.0,-1.0,0.0,unknown,no,5,2,1,0,1,0,8
110.0,45,523.0,u,5.0,849.0,2.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
111.0,29,31.0,u,5.0,194.0,1.0,-1.0,0.0,unknown,no,7,0,1,0,1,0,8
112.0,46,79.0,u,5.0,144.0,1.0,-1.0,0.0,unknown,no,9,0,1,0,0,0,8
113.0,56,-34.0,u,5.0,212.0,2.0,-1.0,0.0,unknown,no,6,1,0,0,1,1,8
114.0,36,448.0,u,5.0,286.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
115.0,59,81.0,u,5.0,107.0,1.0,-1.0,0.0,unknown,no,5,0,0,0,1,0,8
116.0,44,144.0,u,5.0,247.0,2.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
117.0,41,351.0,u,5.0,518.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,0,8
118.0,33,-67.0,u,5.0,364.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
119.0,59,262.0,u,5.0,178.0,1.0,-1.0,0.0,unknown,no,4,0,2,0,0,0,8
120.0,57,0.0,u,5.0,98.0,1.0,-1.0,0.0,unknown,no,9,1,0,0,0,0,8
121.0,56,56.0,u,5.0,439.0,1.0,-1.0,0.0,unknown,no,9,0,3,0,1,0,8
122.0,51,26.0,u,5.0,79.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
123.0,34,3.0,u,5.0,120.0,3.0,-1.0,0.0,unknown,no,0,1,3,0,1,0,8
124.0,43,41.0,u,5.0,127.0,2.0,-1.0,0.0,unknown,no,7,1,1,0,1,1,8
125.0,52,7.0,u,5.0,175.0,1.0,-1.0,0.0,unknown,no,9,1,2,0,0,1,8
126.0,33,105.0,u,5.0,262.0,2.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
127.0,29,818.0,u,5.0,61.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,1,8
128.0,34,-16.0,u,5.0,78.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,1,8
129.0,31,0.0,u,5.0,143.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
130.0,55,2476.0,u,5.0,579.0,1.0,-1.0,0.0,unknown,yes,7,1,1,0,1,0,8
131.0,55,1185.0,u,5.0,677.0,1.0,-1.0,0.0,unknown,no,4,1,3,0,0,0,8
132.0,32,217.0,u,5.0,345.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,0,8
133.0,38,1685.0,u,5.0,185.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
134.0,55,802.0,u,5.0,100.0,2.0,-1.0,0.0,unknown,no,0,2,1,0,1,1,8
135.0,28,0.0,u,5.0,125.0,2.0,-1.0,0.0,unknown,no,10,2,2,0,1,0,8
136.0,23,94.0,u,5.0,193.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
137.0,32,0.0,u,5.0,136.0,1.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
138.0,43,0.0,u,5.0,73.0,1.0,-1.0,0.0,unknown,no,7,2,3,0,0,0,8
139.0,32,517.0,u,5.0,528.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
140.0,46,265.0,u,5.0,541.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
141.0,53,947.0,u,5.0,163.0,1.0,-1.0,0.0,unknown,no,3,0,0,0,1,0,8
142.0,34,3.0,u,5.0,301.0,1.0,-1.0,0.0,unknown,no,6,2,1,0,1,0,8
143.0,57,42.0,u,5.0,46.0,1.0,-1.0,0.0,unknown,no,10,1,2,0,0,0,8
144.0,37,37.0,u,5.0,204.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
145.0,59,57.0,u,5.0,98.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
146.0,33,22.0,u,5.0,71.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
147.0,56,8.0,u,5.0,157.0,2.0,-1.0,0.0,unknown,no,1,0,0,0,1,0,8
148.0,48,293.0,u,5.0,243.0,1.0,-1.0,0.0,unknown,no,10,1,1,0,1,0,8
149.0,43,3.0,u,5.0,186.0,2.0,-1.0,0.0,unknown,no,7,1,0,0,1,0,8
150.0,54,348.0,u,5.0,579.0,2.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
151.0,51,-19.0,u,5.0,163.0,2.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
152.0,26,0.0,u,5.0,610.0,2.0,-1.0,0.0,unknown,no,8,2,1,0,1,0,8
153.0,40,-4.0,u,5.0,2033.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
154.0,39,18.0,u,5.0,85.0,1.0,-1.0,0.0,unknown,no,4,1,1,0,1,0,8
155.0,50,139.0,u,5.0,114.0,2.0,-1.0,0.0,unknown,no,9,1,0,0,0,0,8
156.0,41,0.0,u,5.0,114.0,2.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
157.0,51,1883.0,u,5.0,57.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,1,0,8
158.0,60,216.0,u,5.0,238.0,1.0,-1.0,0.0,unknown,no,5,0,1,0,1,0,8
159.0,52,782.0,u,5.0,93.0,3.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
160.0,48,904.0,u,5.0,128.0,2.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
161.0,48,1705.0,u,5.0,107.0,1.0,-1.0,0.0,unknown,no,7,1,3,0,1,0,8
162.0,39,47.0,u,5.0,181.0,1.0,-1.0,0.0,unknown,no,9,2,2,0,1,0,8
163.0,47,176.0,u,5.0,303.0,2.0,-1.0,0.0,unknown,no,7,2,1,0,1,0,8
164.0,40,1225.0,u,5.0,558.0,5.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
165.0,45,86.0,u,5.0,270.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
166.0,26,82.0,u,5.0,228.0,1.0,-1.0,0.0,unknown,no,0,2,1,0,1,0,8
167.0,52,271.0,u,5.0,99.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
168.0,54,1378.0,u,5.0,240.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
169.0,54,184.0,u,5.0,673.0,2.0,-1.0,0.0,unknown,yes,0,1,2,0,0,0,8
170.0,50,0.0,u,5.0,233.0,3.0,-1.0,0.0,unknown,no,1,1,0,0,0,0,8
171.0,35,0.0,u,5.0,1056.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
172.0,44,1357.0,u,5.0,250.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,1,8
173.0,53,19.0,u,5.0,252.0,1.0,-1.0,0.0,unknown,no,2,1,3,0,1,0,8
174.0,35,434.0,u,5.0,138.0,1.0,-1.0,0.0,unknown,no,5,2,0,0,0,0,8
175.0,60,92.0,u,5.0,130.0,1.0,-1.0,0.0,unknown,no,0,0,1,0,1,0,8
176.0,53,1151.0,u,5.0,412.0,1.0,-1.0,0.0,unknown,no,0,0,1,0,1,0,8
177.0,48,41.0,u,5.0,179.0,2.0,-1.0,0.0,unknown,no,10,1,1,0,1,0,8
178.0,34,51.0,u,5.0,19.0,2.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
179.0,54,214.0,u,5.0,458.0,2.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
180.0,51,1161.0,u,5.0,717.0,1.0,-1.0,0.0,unknown,no,4,1,1,0,1,0,8
181.0,31,37.0,u,5.0,313.0,1.0,-1.0,0.0,unknown,no,7,1,2,0,1,0,8
182.0,35,787.0,u,5.0,683.0,2.0,-1.0,0.0,unknown,no,9,0,1,0,1,0,8
183.0,35,59.0,u,5.0,1077.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
184.0,38,253.0,u,5.0,416.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
185.0,36,211.0,u,5.0,146.0,2.0,-1.0,0.0,unknown,no,0,1,2,0,1,0,8
186.0,58,235.0,u,5.0,167.0,1.0,-1.0,0.0,unknown,no,5,1,0,0,1,0,8
187.0,40,4384.0,u,5.0,315.0,1.0,-1.0,0.0,unknown,no,7,0,3,0,1,0,8
188.0,54,4080.0,u,5.0,140.0,1.0,-1.0,0.0,unknown,no,4,1,1,0,0,0,8
189.0,34,53.0,u,5.0,346.0,1.0,-1.0,0.0,unknown,no,1,2,1,0,1,1,8
190.0,31,0.0,u,5.0,562.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
191.0,51,2127.0,u,5.0,172.0,1.0,-1.0,0.0,unknown,no,5,1,1,0,1,0,8
192.0,33,377.0,u,5.0,217.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
193.0,55,73.0,u,5.0,142.0,2.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
194.0,42,445.0,u,5.0,67.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,0,8
195.0,34,243.0,u,5.0,291.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
196.0,33,307.0,u,5.0,309.0,2.0,-1.0,0.0,unknown,no,1,2,1,0,1,0,8
197.0,38,155.0,u,5.0,248.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
198.0,50,173.0,u,5.0,98.0,1.0,-1.0,0.0,unknown,no,9,0,2,0,0,1,8
199.0,43,400.0,u,5.0,256.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
200.0,61,1428.0,u,5.0,82.0,2.0,-1.0,0.0,unknown,no,1,0,0,0,1,0,8
201.0,47,219.0,u,5.0,577.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,0,8
202.0,48,7.0,u,5.0,286.0,1.0,-1.0,0.0,unknown,no,6,1,2,0,1,0,8
203.0,44,575.0,u,5.0,477.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
204.0,35,298.0,u,5.0,611.0,2.0,-1.0,0.0,unknown,no,8,2,3,0,1,0,8
205.0,35,0.0,u,5.0,471.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
206.0,50,5699.0,u,5.0,381.0,2.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
207.0,41,176.0,u,5.0,42.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,1,8
208.0,41,517.0,u,5.0,251.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
209.0,39,257.0,u,5.0,408.0,1.0,-1.0,0.0,unknown,no,7,2,3,0,1,0,8
210.0,42,56.0,u,5.0,215.0,1.0,-1.0,0.0,unknown,no,5,1,1,0,1,0,8
211.0,38,-390.0,u,5.0,287.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
212.0,53,330.0,u,5.0,216.0,2.0,-1.0,0.0,unknown,no,5,1,1,0,1,0,8
213.0,59,195.0,u,5.0,366.0,2.0,-1.0,0.0,unknown,no,3,0,0,0,0,0,8
214.0,36,301.0,u,5.0,210.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
215.0,54,-41.0,u,5.0,288.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
216.0,40,483.0,u,5.0,168.0,1.0,-1.0,0.0,unknown,no,9,1,2,0,1,0,8
217.0,47,28.0,u,5.0,338.0,2.0,-1.0,0.0,unknown,no,11,1,3,0,0,0,8
218.0,53,13.0,u,5.0,410.0,3.0,-1.0,0.0,unknown,no,10,1,3,0,0,0,8
219.0,46,965.0,u,5.0,177.0,1.0,-1.0,0.0,unknown,no,3,1,0,0,0,0,8
220.0,39,378.0,u,5.0,127.0,2.0,-1.0,0.0,unknown,no,4,1,2,0,1,1,8
221.0,40,219.0,u,5.0,357.0,1.0,-1.0,0.0,unknown,no,10,1,1,0,1,0,8
222.0,28,324.0,u,5.0,175.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
223.0,35,-69.0,u,5.0,300.0,1.0,-1.0,0.0,unknown,no,2,0,1,0,1,0,8
224.0,55,0.0,u,5.0,136.0,1.0,-1.0,0.0,unknown,no,5,1,1,0,0,1,8
225.0,43,205.0,u,5.0,1419.0,1.0,-1.0,0.0,unknown,no,9,0,3,0,1,0,8
226.0,48,278.0,u,5.0,125.0,2.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
227.0,58,1065.0,u,5.0,213.0,3.0,-1.0,0.0,unknown,no,4,1,3,0,1,0,8
228.0,33,34.0,u,5.0,27.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
229.0,36,1033.0,u,5.0,238.0,2.0,-1.0,0.0,unknown,no,1,1,3,0,0,0,8
230.0,53,1467.0,u,5.0,124.0,1.0,-1.0,0.0,unknown,no,7,0,1,0,1,0,8
231.0,47,-12.0,u,5.0,18.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
232.0,31,388.0,u,5.0,730.0,2.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
233.0,57,294.0,u,5.0,746.0,2.0,-1.0,0.0,unknown,no,2,1,1,0,1,0,8
234.0,53,1827.0,u,5.0,121.0,1.0,-1.0,0.0,unknown,no,1,1,3,0,0,0,8
235.0,55,627.0,u,5.0,247.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
236.0,45,25.0,u,5.0,40.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
237.0,53,315.0,u,5.0,181.0,2.0,-1.0,0.0,unknown,no,0,0,1,0,1,0,8
238.0,37,0.0,u,5.0,79.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
239.0,44,66.0,u,5.0,206.0,1.0,-1.0,0.0,unknown,no,0,0,1,0,1,0,8
240.0,49,-9.0,u,5.0,389.0,1.0,-1.0,0.0,unknown,no,1,0,0,0,1,1,8
241.0,46,349.0,u,5.0,127.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,1,8
242.0,43,100.0,u,5.0,702.0,1.0,-1.0,0.0,unknown,no,2,1,3,0,1,0,8
243.0,38,0.0,u,5.0,151.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,0,0,8
244.0,43,434.0,u,5.0,117.0,1.0,-1.0,0.0,unknown,no,9,1,1,0,1,0,8
245.0,49,3237.0,u,5.0,232.0,3.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
246.0,42,275.0,u,5.0,408.0,2.0,-1.0,0.0,unknown,no,4,1,3,0,0,0,8
247.0,22,0.0,u,5.0,179.0,2.0,-1.0,0.0,unknown,no,1,2,1,0,1,0,8
248.0,40,207.0,u,5.0,39.0,1.0,-1.0,0.0,unknown,no,4,1,2,0,1,0,8
249.0,39,483.0,u,5.0,282.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
250.0,51,2248.0,u,5.0,714.0,2.0,-1.0,0.0,unknown,no,7,1,1,0,1,0,8
251.0,49,428.0,u,5.0,50.0,1.0,-1.0,0.0,unknown,no,0,1,1,0,1,0,8
252.0,53,0.0,u,5.0,181.0,1.0,-1.0,0.0,unknown,no,1,1,1,0,1,1,8
253.0,34,0.0,u,5.0,142.0,1.0,-1.0,0.0,unknown,no,7,2,1,0,1,0,8
254.0,33,140.0,u,5.0,227.0,1.0,-1.0,0.0,unknown,no,9,0,1,0,1,0,8
255.0,50,297.0,u,5.0,119.0,1.0,-1.0,0.0,unknown,no,4,2,2,0,1,0,8
256.0,39,279.0,u,5.0,361.0,1.0,-1.0,0.0,unknown,no,1,1,0,0,1,0,8
257.0,59,901.0,u,5.0,73.0,3.0,-1.0,0.0,unknown,no,2,0,1,0,1,0,8
258.0,30,2573.0,u,5.0,67.0,2.0,-1.0,0.0,unknown,no,9,2,1,0,1,0,8
259.0,36,143.0,u,5.0,350.0,1.0,-1.0,0.0,unknown,no,7,1,1,0,1,1,8
260.0,40,475.0,u,5.0,332.0,2.0,-1.0,0.0,unknown,no,1,1,1,0,1,0,8
